1,63,91.5,847.7835175
2,105,96,889.592887
3,148,109,1010.37551
4,90,105.2,975.0698202
5,133,107.8,999.2263448
6,75,110.2,1021.5246752
7,118,112.8,1045.6811998
8,60,95.2,882.1601102
9,103,97.8,906.3166348
10,145,100.2,928.6149652
11,88,102.8,952.7714898
12,130,105.2,975.0698202
13,73,107.8,999.2263448
14,115,110.2,1021.5246752
15,58,92.8,859.8617798
16,101,95.4,884.0183044
17,143,98,908.174829
18,86,100.6,932.3313536
19,128,103.2,956.4878782
20,71,105.8,980.6444028
21,113,108.2,1002.9427332
22,56,90.8,841.2798378
23,98,93.2,863.5781682
24,141,95.8,887.7346928
25,83,98.2,910.0330232
26,126,100.8,934.1895478
27,68,103.2,956.4878782
28,111,105.8,980.6444028
29,53,88.2,817.1233132
30,96,90.8,841.2798378
31,139,93.4,865.4363624
32,81,96,889.592887
33,124,98.6,913.7494116
34,66,101.2,937.9059362
35,109,103.8,962.0624608
36,51,86.2,798.5413712
37,94,88.8,822.6978958
38,136,91.2,844.9962262
39,79,93.8,869.1527508
40,121,96.2,891.4510812
41,64,98.8,915.6076058
42,106,101.2,937.9059362
43,149,103.8,962.0624608
44,91,106.2,984.3607912
45,134,108.8,1008.5173158
46,76,111.2,1030.8156462
47,119,113.8,1054.9721708
48,62,96.4,893.3092754
49,104,99,917.4658
50,147,101.6,941.6223246
51,89,104.2,965.7788492
52,132,106.8,989.9353738
53,74,109.2,1012.2337042
54,117,111.8,1036.3902288
55,59,94.2,872.8691392
56,102,96.8,897.0256638
57,144,99.2,919.3239942
58,87,101.8,943.4805188
59,129,104.2,965.7788492
60,72,106.8,989.9353738
61,114,109.2,1012.2337042
62,57,91.8,850.5708088
63,100,94.4,874.7273334
64,142,97,898.883858
65,85,99.6,923.0403826
66,127,102.2,947.1969072
67,70,104.8,971.3534318
68,112,107.2,993.6517622
69,55,89.8,831.9888668
70,97,92.2,854.2871972
71,140,94.8,878.4437218
72,82,97.2,900.7420522
73,125,99.8,924.8985768
74,67,102.2,947.1969072
75,110,104.8,971.3534318
76,52,87.2,807.8323422
77,95,89.8,831.9888668
78,137,92.2,854.2871972
79,80,94.8,878.4437218
80,123,97.4,902.6002464
81,65,100,926.756771
82,108,102.6,950.9132956
83,50,85.2,789.2504002
84,93,87.8,813.4069248
85,135,90.2,835.7052552
86,78,92.8,859.8617798
87,120,95.2,882.1601102
88,63,97.8,906.3166348
89,105,100.2,928.6149652
90,148,102.8,952.7714898
91,90,105.2,975.0698202
92,133,107.8,999.2263448
93,75,110.2,1021.5246752
94,118,112.8,1045.6811998
95,61,95.4,884.0183044
96,103,98,908.174829
97,146,100.6,932.3313536
98,88,103.2,956.4878782
99,131,105.8,980.6444028
100,73,108.2,1002.9427332
101,116,110.8,1027.0992578
102,58,93.2,863.5781682
103,101,95.8,887.7346928
104,143,98.2,910.0330232
105,86,100.8,934.1895478
106,128,103.2,956.4878782
107,71,105.8,980.6444028
108,113,108.2,1002.9427332
109,56,90.8,841.2798378
110,98,93.2,863.5781682
111,141,95.8,887.7346928
112,84,98.4,911.8912174
113,126,101,936.047742
