1,122,100.5
2,64,88.3333333333333
3,107,93
4,50,84.4
5,92,87
6,135,89.6
7,77,92.2
8,120,94.8
9,62,97.2
10,105,99.8
11,147,102.2
12,90,104.8
13,132,107.2
14,75,109.8
15,117,112.2
16,60,94.8
17,102,97.2
18,145,99.8
19,88,102.4
20,130,105
21,73,107.6
22,115,110.2
23,58,92.8
24,100,95.2
25,143,97.8
26,85,100.2
27,128,102.8
28,70,105.2
29,113,107.8
30,55,90.2
31,98,92.8
32,140,95.2
33,83,97.8
34,125,100.2
35,68,102.8
36,111,105.4
37,53,88
38,96,90.6
39,138,93.2
40,81,95.8
41,123,98.2
42,66,100.8
43,108,103.2
44,51,85.8
45,93,88.2
46,136,90.8
47,78,93.2
48,121,95.8
49,63,98.2
50,106,100.8
51,149,103.4
52,91,106
53,134,108.6
54,76,111.2
55,119,113.8
56,61,96.2
57,104,98.8
58,146,101.2
59,89,103.8
60,131,106.2
61,74,108.8
62,116,111.2
63,59,93.8
64,101,96.2
65,144,98.8
66,86,101.2
67,129,103.8
68,72,106.4
69,114,109
70,57,91.6
71,99,94.2
72,142,96.8
73,84,99.2
74,127,101.8
75,69,104.2
76,112,106.8
77,54,89.2
78,97,91.8
79,139,94.2
80,82,96.8
81,124,99.2
82,67,101.8
83,110,104.4
84,52,87
85,95,89.6
86,137,92.2
87,80,94.8
88,122,97.2
89,65,99.8
90,107,102.2
91,50,84.8
92,92,87.2
93,135,89.8
94,77,92.2
95,120,94.8
96,62,97.2
97,105,99.8
98,147,102.2
99,90,104.8
100,133,107.4
101,75,110
102,118,112.6
103,60,95.2
104,103,97.8
105,145,100.2
106,88,102.8
107,130,105.2
108,73,107.8
109,115,110.2
110,58,92.8
111,100,95.2
112,143,97.8
113,85,100.2
114,128,102.8
115,71,105.4
116,113,108
117,56,90.6
118,98,93.2
119,141,95.8
120,83,98.2
121,126,100.8
122,68,103.2
123,111,105.8
124,53,88.2
125,96,90.8
126,138,93.2
127,81,95.8
128,123,98.2
129,66,100.8
130,109,103.4
131,51,86
