00:01,63
00:02,106
00:03,148
00:04,91
00:05,133
00:06,76
00:07,118
00:08,61
00:09,103
00:10,146
00:11,89
00:12,131
00:13,74
00:14,116
00:15,59
00:16,101
00:17,144
00:18,86
00:19,129
00:20,71
00:21,114
00:22,56
00:23,99
00:24,141
00:25,84
00:26,126
00:27,69
00:28,112
00:29,54
00:30,97
00:31,139
00:32,82
00:33,124
00:34,67
00:35,109
00:36,52
00:37,94
00:38,137
00:39,79
00:40,122
00:41,64
00:42,107
00:43,50
00:44,92
00:45,135
00:46,77
00:47,120
00:48,62
00:49,105
00:50,147
00:51,90
00:52,132
00:53,75
00:54,117
00:55,60
00:56,102
00:57,145
00:58,87
00:59,130
01:00,73
01:01,115
01:02,58
01:03,100
01:04,143
01:05,85
01:06,128
01:07,70
01:08,113
01:09,55
01:10,98
01:11,140
01:12,83
01:13,125
01:14,68
01:15,111
01:16,53
