00:01,130
00:02,72
00:03,115
00:04,57
00:05,100
00:06,142
00:07,85
00:08,127
00:09,70
00:10,112
00:11,55
00:12,98
00:13,140
00:14,83
00:15,125
00:16,68
00:17,110
00:18,53
00:19,95
00:20,138
00:21,80
00:22,123
00:23,65
00:24,108
00:25,50
00:26,93
00:27,136
00:28,78
00:29,121
00:30,63
00:31,106
00:32,148
00:33,91
00:34,133
00:35,76
00:36,118
00:37,61
00:38,103
00:39,146
00:40,88
00:41,131
00:42,74
00:43,116
00:44,59
00:45,101
00:46,144
00:47,86
00:48,129
00:49,71
00:50,114
00:51,56
00:52,99
00:53,141
00:54,84
00:55,126
00:56,69
00:57,111
00:58,54
00:59,97
01:00,139
01:01,82
01:02,124
01:03,67
01:04,109
01:05,52
01:06,94
01:07,137
